,0
0,858.20703
1,405.3053
2,574.6632
3,411.58414
4,309.13208
5,626.1191
6,98.25925
7,597.1417
8,457.56
9,607.5744
10,271.54492
11,271.01883
12,264.78918
13,332.7274
14,531.96326
15,428.01492
16,285.55316
17,138.6731
18,794.0652
19,172.56616
20,297.87237999999996
21,238.6966
22,171.3092
23,1078.9397
24,224.7738
25,172.46329
26,277.23193
27,335.0393
28,623.4717
29,-2.7578582999999997
30,343.8269
31,51.489624
32,-42.163666
33,153.86942
34,1031.292
35,759.6247599999999
36,107.9707
37,144.22363
38,557.87897
39,201.33383
40,199.3765
41,561.15015
42,127.21688999999999
43,123.04245
44,109.54956000000001
45,295.7854
46,264.75153
47,396.8156
48,325.45807
49,336.92575
50,501.3869
51,381.42737
52,265.9255
53,183.328
54,504.30699999999996
55,331.0874
56,199.20172
57,226.36072000000001
58,307.76306
59,316.53378
60,504.88135
61,128.61243000000002
62,165.8119
63,143.04825
64,127.44226
65,804.2452
66,113.27695
67,128.07693
68,418.28738
69,452.02545
70,200.12805
71,201.57526000000001
72,527.1382
73,517.5465
74,352.3139
75,191.46331999999998
76,1007.8631
77,1841.0669
78,354.84252999999995
79,365.89685
80,353.80322
81,359.43723
82,731.4276
83,453.03683
84,576.7294
85,132.18768
86,516.68823
87,350.90436
88,441.07782000000003
89,373.3928
90,450.73035
91,153.95678999999998
92,188.83438
93,706.9257
94,626.43475
95,55.866302000000005
96,292.74133
97,339.25122000000005
98,620.2389
99,292.94064
100,301.482
101,156.62589
102,975.3496
103,107.71185
104,-13.467865
105,254.69371
106,572.5824
107,464.20718
108,252.09512
109,369.72983
110,607.876
111,318.3455
112,1016.66235
113,267.11492999999996
114,306.12158
115,300.64493
116,247.64117000000002
117,429.1646
118,216.77502
119,218.51913
120,567.7042
121,286.98334
122,-22.025238
123,138.14099
124,282.56958
125,160.3039
126,108.32092
127,169.6434
128,259.55987999999996
129,322.6867
130,237.75671
131,670.9232
132,40.381409999999995
133,537.00323
134,161.02243
135,91.06753499999999
136,514.235
137,188.98773
138,205.30136000000002
139,297.70523
140,1131.8906
141,368.83594
142,265.12073
143,275.59174
144,94.97354
145,150.45328
146,405.48694
147,1165.0599
148,538.2384
149,492.55785999999995
150,482.3546
151,306.79102
152,524.5824
153,779.6062
154,80.20883
155,438.81247
156,268.055
157,574.946
158,297.25
159,542.87537
160,620.13635
161,359.50586
162,136.9176
163,869.5563
164,44.893677000000004
165,300.03278
166,316.0385
167,225.90756000000002
168,277.84302
169,98.81371999999999
170,481.82422
171,678.71277
172,579.7168
173,-14.642257999999998
174,258.15063
175,510.65927
176,9.374039
177,161.51147
178,356.92438
179,278.93073
180,254.2467
181,958.7722
182,331.76056
183,746.16675
184,635.0652
185,85.61926
186,932.1827400000001
187,297.52227999999997
188,335.44672
189,576.9802
190,619.9852
191,422.3492
192,134.0173
193,371.0615
194,686.1296
195,493.34842000000003
196,420.57617
197,793.6926
198,627.0219
199,759.1275
200,930.1356
201,947.0044
202,280.02263999999997
203,264.26842999999997
204,416.76465
205,30.435806
206,-16.433135999999998
207,136.1713
208,142.3692
209,190.86456
210,480.9132
211,565.9915
212,315.0415
213,188.18588
214,465.17294000000004
215,249.90502999999998
216,355.7904
217,173.77576000000002
218,258.0678
219,10.86026
220,-47.98404
