,index,P_values,logp,Tanimoto,Euclidean_distance,Cut off
0,3,411.58414,6.020013470661617,1.0,1.0,0.0
1,661,431.37433,6.066976228243968,0.14308943089430895,0.9635352029513468,0.046962757582351244
2,799,386.08154,5.956048590679376,0.10285714285714287,0.9572731652687128,0.06396487998224121
3,9508,372.53696,5.920336254373999,0.12024665981500515,0.9489838612957596,0.09967721628761783
4,3146,381.3585,5.943739877597457,0.12343966712898753,0.9353390744445722,0.07627359306416004
5,1415,417.9444,6.035348409323496,0.12364130434782608,0.90806660995488,0.015334938661879072
6,6792,417.00793,6.033105238404556,0.12310286677908938,0.8583329971529096,0.013091767742938742
7,434,383.1058,5.9483111912422215,0.11534968210717528,0.8557187943743677,0.07170227941939533
8,9642,445.735,6.09972460502729,0.11566617862371888,0.8410098610929243,0.0797111343656729
9,4899,378.9323,5.937357561158213,0.10635359116022099,0.8324475397803788,0.08265590950340407
